Bulgaria,0
United States,240
Paraguay,109
Australia,654
India,289
Venezuela,42
New Zealand,3
Russia,438
Philippines,870
Moldova,213
Argentina,749
Malta,32
Portugal,224
Indonesia,917
Mexico,974
Greece,125
Canada,17
Estonia,36
Austria,618
Norway,204
Macedonia,2
Vietnam,452
Finland,212
Uruguay,137
Belarus,168
Kosovo,25
Colombia,368
San Marino,101
Ecuador,564
Thailand,518
Hungary,96
Japan,54
Denmark,286
Georgia,144
United Arab Emirates,297
Luxembourg,89
Ireland,1053
Bolivia,68
Iceland,32
Turkey,46
The Netherlands,124
Latvia,240
China,0
Israel,89
