United States,0
Paraguay,88
Turkey,707
Australia,70
Lithuania,154
New Zealand,276
Philippines,1
Denmark,443
South Korea,559
Switzerland,623
Macedonia,143
Israel,80
Serbia,674
Canada,64
Colombia,959
Bolivia,480
Portugal,707
Vietnam,870
India,356
Venezuela,102
Estonia,327
Mexico,135
United Kingdom,366
Russia,648
Hungary,279
Croatia,112
Sweden,511
Bulgaria,1003
Indonesia,682
Georgia,389
Iceland,228
Thailand,163
Uruguay,121
Japan,200
Brasil,365
Montenegro,0
United Arab Emirates,17
