Web Search interest: lol
Worldwide Nov-Dec 2009

Interest over time
Day,lol
2009-11-01,86
2009-11-02,76
2009-11-03,77
2009-11-04,71
2009-11-05,74
2009-11-06,82
2009-11-07,85
2009-11-08,86
2009-11-09,69
2009-11-10,72
2009-11-11,71
2009-11-12,70
2009-11-13,78
2009-11-14,83
2009-11-15,90
2009-11-16,97
2009-11-17,82
2009-11-18,77
2009-11-19,76
2009-11-20,80
2009-11-21,96
2009-11-22,91
2009-11-23,69
2009-11-24,72
2009-11-25,76
2009-11-26,77
2009-11-27,80
2009-11-28,82
2009-11-29,86
2009-11-30,72
2009-12-01,74
2009-12-02,77
2009-12-03,74
2009-12-04,80
2009-12-05,88
2009-12-06,85
2009-12-07,78
2009-12-08,75
2009-12-09,77
2009-12-10,75
2009-12-11,80
2009-12-12,92
2009-12-13,94
2009-12-14,70
2009-12-15,79
2009-12-16,79
2009-12-17,77
2009-12-18,84
2009-12-19,100
2009-12-20,94
2009-12-21,86
2009-12-22,82
2009-12-23,86
2009-12-24,86
2009-12-25,83
2009-12-26,84
2009-12-27,82
2009-12-28,78
2009-12-29,84
2009-12-30,80
2009-12-31,79


Top regions for lol
Region,lol
France,100
Australia,74
Canada,55
Poland,49
United Kingdom,45
United States,43
Germany,39
Spain,30


Top cities for lol
Town/City,lol
Courbevoie (France),100
Marseilles (France),98
Oslo (Norway),82
Paris (France),77
Lisbon (Portugal),62
Brussels (Belgium),51
Toronto (Canada),48
Warsaw (Poland),43
Los Angeles (United States),39
New York (United States),37
London (United Kingdom),31
Frankfurt (Germany),30
Amsterdam (Netherlands),30
Madrid (Spain),25
Milpitas (United States),24



Top searches for lol
lol face,100
lol cats,90
my lol,60
lol smiley face,55
lol lyrics,45
lol facebook,45
my face lol,40
my face,40
streaming lol,35
league of legends,30
google lol,30
lol cat,25
lol en streaming,20
lol download,20
lol online,20
lol meaning,20
lol games,20
what is lol,20
lol mean,20
que significa lol,20
lol game,15
4 lol,15
lol europe,15
lol wiki,10
torrent lol,10
lol wikipedia,10
lmao,10
rofl,10
omg,10
omg lol,10
lol pics,10
lol pictures,10
wow lol,10
lol wut,10
lol megaupload,10
lol internet,10
lol means,10
acteur lol,10
lol dogs,10
jocelyn quivrin,10
meaning of lol,10
lol significado,10
musique lol,10
wtf,5
lol movie,5



Rising searches for lol
acteur lol,Breakout
jocelyn quivrin,Breakout
my face,+850%
my face lol,+800%
lol europe,+200%
my lol,+190%
league of legends,+140%
family guy lol,+110%
planete lol,+60%
lol significado,+50%



