Web Search interest: lol
Worldwide Jul-Aug 2010

Interest over time
Day,lol
2010-07-01,71
2010-07-02,67
2010-07-03,73
2010-07-04,76
2010-07-05,67
2010-07-06,66
2010-07-07,64
2010-07-08,69
2010-07-09,65
2010-07-10,73
2010-07-11,73
2010-07-12,63
2010-07-13,75
2010-07-14,81
2010-07-15,72
2010-07-16,73
2010-07-17,83
2010-07-18,79
2010-07-19,73
2010-07-20,74
2010-07-21,88
2010-07-22,100
2010-07-23,84
2010-07-24,85
2010-07-25,88
2010-07-26,76
2010-07-27,80
2010-07-28,75
2010-07-29,70
2010-07-30,76
2010-07-31,77
2010-08-01,83
2010-08-02,68
2010-08-03,66
2010-08-04,72
2010-08-05,67
2010-08-06,69
2010-08-07,75
2010-08-08,77
2010-08-09,65
2010-08-10,70
2010-08-11,71
2010-08-12,67
2010-08-13,73
2010-08-14,77
2010-08-15,77
2010-08-16,70
2010-08-17,67
2010-08-18,76
2010-08-19,71
2010-08-20,73
2010-08-21,81
2010-08-22,97
2010-08-23,82
2010-08-24,83
2010-08-25,87
2010-08-26,87
2010-08-27,79
2010-08-28,88
2010-08-29,97
2010-08-30,73
2010-08-31,71


Top regions for lol
Region,lol
Australia,100
Sweden,77
France,72
Canada,66
Poland,55
United Kingdom,52
Germany,52
United States,46
Netherlands,43
Italy,41
Mexico,38
Spain,37
Brazil,29


Top cities for lol
Town/City,lol
Oslo (Norway),100
Marseilles (France),87
Montréal (Canada),80
Lisbon (Portugal),80
Toronto (Canada),70
Paris (France),64
Los Angeles (United States),62
Brentford (United Kingdom),61
Singapore (Singapore),58
Warsaw (Poland),53
Chicago (United States),52
Brussels (Belgium),52
New York (United States),51
Atlanta (United States),43
Frankfurt (Germany),42



Top searches for lol
limewire,100
lol limewire,100
league of legends,40
lol facebook,25
lol cats,25
google lol,20
lol guide,20
lol youtube,15
lol download,15
wiki lol,10
lol lyrics,10
lol online,10
lol europe,10
my lol,10
lol game,10
lol miley cyrus,10
lol meaning,10
lol build,10
que significa lol,10
lol games,10
lol face,10
lol movie,10
what is lol,10
lol cat,10
lol streaming,10
chuck norris,10
fish lol,5
2204355,5
lol mean,5
lol eu,5
lol server,5
league of legend,5
lol wikipedia,5
lol smiley face,5
lol pirate,5
forum lol,5
lol internet,5
lol jk,5
lol en streaming,5
wow lol,5
lol jokes,5
lol champions,5
significado lol,5
meaning of lol,5
lol omg,5
lol hehehe,5



Rising searches for lol
vladimir lol,Breakout
2204355,+600%
lol miley cyrus,+350%
lol movie,+110%
lol champions,+100%
lol build,+80%
lol server,+80%
league of legend,+60%
lol code,+60%
lol hehehe,+60%



