Web Search interest: lol
Worldwide Jul-Aug 2009

Interest over time
Day,lol
2009-07-01,71
2009-07-02,76
2009-07-03,75
2009-07-04,86
2009-07-05,78
2009-07-06,74
2009-07-07,69
2009-07-08,69
2009-07-09,70
2009-07-10,70
2009-07-11,77
2009-07-12,78
2009-07-13,66
2009-07-14,73
2009-07-15,71
2009-07-16,65
2009-07-17,70
2009-07-18,78
2009-07-19,82
2009-07-20,65
2009-07-21,65
2009-07-22,69
2009-07-23,78
2009-07-24,71
2009-07-25,83
2009-07-26,78
2009-07-27,68
2009-07-28,69
2009-07-29,70
2009-07-30,69
2009-07-31,74
2009-08-01,82
2009-08-02,82
2009-08-03,73
2009-08-04,72
2009-08-05,69
2009-08-06,71
2009-08-07,80
2009-08-08,78
2009-08-09,84
2009-08-10,68
2009-08-11,76
2009-08-12,79
2009-08-13,72
2009-08-14,70
2009-08-15,95
2009-08-16,91
2009-08-17,75
2009-08-18,73
2009-08-19,75
2009-08-20,77
2009-08-21,80
2009-08-22,81
2009-08-23,86
2009-08-24,72
2009-08-25,71
2009-08-26,87
2009-08-27,81
2009-08-28,82
2009-08-29,99
2009-08-30,100
2009-08-31,81


Top regions for lol
Region,lol
France,100
Australia,76
Canada,53
United States,52
Germany,47
United Kingdom,46
Spain,40


Top cities for lol
Town/City,lol
Marseilles (France),100
Paris (France),65
Lisbon (Portugal),60
New York (United States),46
Chicago (United States),43
Brussels (Belgium),43
Toronto (Canada),41
Brentford (United Kingdom),39
Atlanta (United States),38
Los Angeles (United States),38
Warsaw (Poland),34
Madrid (Spain),32
Frankfurt (Germany),31
Amsterdam (Netherlands),30
London (United Kingdom),30



Top searches for lol
lol cats,100
lol face,60
lol lyrics,55
lol smiley face,50
lol streaming,30
lol cat,25
lol que,25
lol song,20
lol en streaming,20
my lol,15
lol games,15
lol online,15
video lol,15
lol mean,15
que significa lol,15
what is lol,15
lol torrent,15
lol meaning,10
lol trey songz,10
dvd lol,10
lol wut,10
lol internet,10
4 lol,10
lyrics to lol,10
lmao,10
lol dogs,10
lol wikipedia,10
lol wiki,10
omg,10
lol movie,5
rofl,5
lol means,5
lol pics,5
pelicula lol,5
lol pictures,5
wtf,5
meaning of lol,5
lol catz,5
lolcats,5



Rising searches for lol
lol smiley face,+1,300%
lol face,+600%
lol song,+300%
lol trey songz,+300%
lyrics to lol,+300%
lol lyrics,+250%
dvd lol,+60%
que significa lol,+60%
pelicula lol,+50%



