Web Search interest: lol
Worldwide May-Jun 2011

Interest over time
Day,lol
2011-05-01,71
2011-05-02,55
2011-05-03,60
2011-05-04,62
2011-05-05,62
2011-05-06,60
2011-05-07,68
2011-05-08,68
2011-05-09,54
2011-05-10,63
2011-05-11,64
2011-05-12,54
2011-05-13,57
2011-05-14,68
2011-05-15,65
2011-05-16,52
2011-05-17,58
2011-05-18,53
2011-05-19,54
2011-05-20,61
2011-05-21,68
2011-05-22,71
2011-05-23,61
2011-05-24,59
2011-05-25,71
2011-05-26,61
2011-05-27,61
2011-05-28,73
2011-05-29,72
2011-05-30,60
2011-05-31,60
2011-06-01,62
2011-06-02,62
2011-06-03,65
2011-06-04,67
2011-06-05,68
2011-06-06,54
2011-06-07,56
2011-06-08,57
2011-06-09,62
2011-06-10,60
2011-06-11,73
2011-06-12,71
2011-06-13,58
2011-06-14,65
2011-06-15,61
2011-06-16,60
2011-06-17,64
2011-06-18,89
2011-06-19,100
2011-06-20,80
2011-06-21,74
2011-06-22,75
2011-06-23,89
2011-06-24,75
2011-06-25,82
2011-06-26,81
2011-06-27,66
2011-06-28,69
2011-06-29,74
2011-06-30,78


Top regions for lol
Region,lol
Hong Kong,100
Greece,79
Denmark,79
Norway,69
Croatia,69
Sweden,67
Poland,60
Portugal,58
Taiwan,56
Philippines,55
New Zealand,52
Singapore,52
Finland,46
Australia,46
Germany,45
France,44
Canada,41
Belgium,38
Austria,37
Hungary,32
Chile,30
Spain,27
Malaysia,27
United States,26
United Kingdom,26
Romania,26
Netherlands,26
Russia,26
Switzerland,25
Italy,20
Mexico,19
Brazil,16
Argentina,16
China,14
India,12
Turkey,7
Japan,7


Top cities for lol
Town/City,lol
Athens (Greece),100
Cracow (Poland),92
Zagreb (Croatia),80
Manila (Philippines),74
Singapore (Singapore),66
Hamburg (Germany),64
Warsaw (Poland),62
Cologne (Germany),61
Stockholm (Sweden),60
Berlin (Germany),49
Munich (Germany),45
Paris (France),44
Toronto (Canada),39
San Francisco (United States),39
Barcelona (Spain),38



Top searches for lol
lol lol,100
league of legends,5
limewire,5
lol limewire,5
build lol,5
lol guide,0
lol download,0
wiki lol,0
lol cam,0
lol cats,0
lol 2,0
lol game,0
lol online,0
the lol cam,0
eu lol,0
my lol,0
que significa lol,0
lol games,0
damn lol,0
lol face,0
lol server,0
what is lol,0
lol meaning,0
lol champions,0
lol streaming,0
lol skin,0
league of legend,0
lol tribunal,0
tribunal,0
lol skins,0
lol cat,0
lol vayne,0
lol forum,0
vayne,0
lol patch,0
mobafire,0
lol stream,0
brand lol,0
lol items,0
lol replay,0
lol dreamhack,0
lol guy,0
lol europe,0
dreamhack,0
wow lol,0



Rising searches for lol
dreamhack,Breakout
lol dreamhack,Breakout
lol tribunal,Breakout
lol vayne,Breakout
orianna,Breakout
tribunal,Breakout
vayne,Breakout
yorick,Breakout
yorick lol,Breakout
damn lol,+80%



