Web Search interest: lol
Worldwide Sep-Oct 2010

Interest over time
Day,lol
2010-09-01,70
2010-09-02,72
2010-09-03,73
2010-09-04,81
2010-09-05,90
2010-09-06,74
2010-09-07,82
2010-09-08,86
2010-09-09,87
2010-09-10,94
2010-09-11,91
2010-09-12,90
2010-09-13,68
2010-09-14,82
2010-09-15,72
2010-09-16,72
2010-09-17,74
2010-09-18,80
2010-09-19,82
2010-09-20,69
2010-09-21,76
2010-09-22,87
2010-09-23,71
2010-09-24,74
2010-09-25,88
2010-09-26,82
2010-09-27,74
2010-09-28,73
2010-09-29,75
2010-09-30,75
2010-10-01,78
2010-10-02,100
2010-10-03,88
2010-10-04,72
2010-10-05,81
2010-10-06,87
2010-10-07,78
2010-10-08,82
2010-10-09,93
2010-10-10,94
2010-10-11,83
2010-10-12,82
2010-10-13,78
2010-10-14,75
2010-10-15,78
2010-10-16,87
2010-10-17,85
2010-10-18,76
2010-10-19,81
2010-10-20,85
2010-10-21,74
2010-10-22,87
2010-10-23,93
2010-10-24,91
2010-10-25,75
2010-10-26,75
2010-10-27,81
2010-10-28,78
2010-10-29,80
2010-10-30,91
2010-10-31,95


Top regions for lol
Region,lol
Australia,100
Sweden,88
France,76
Canada,65
Poland,60
United Kingdom,56
Germany,53
Netherlands,46
United States,41
Spain,37
Mexico,29
Italy,29
Brazil,29
Japan,16


Top cities for lol
Town/City,lol
Oslo (Norway),100
Marseilles (France),93
Lisbon (Portugal),79
Montréal (Canada),71
Toronto (Canada),71
Paris (France),67
Brussels (Belgium),59
Brentford (United Kingdom),58
Los Angeles (United States),57
Warsaw (Poland),55
Amsterdam (Netherlands),45
New York (United States),44
London (United Kingdom),44
Frankfurt (Germany),43
Madrid (Spain),36



Top searches for lol
limewire lol,100
limewire,100
league of legends,65
lol guide,30
lol cats,30
lol download,25
lol wiki,20
lol build,15
lol online,15
lol game,15
my lol,15
lol europe,15
lol meaning,15
lol games,15
what is lol,15
lol face,10
lol cat,10
que significa lol,10
miley cyrus lol,10
lol movie,10
lol streaming,10
lol fish,10
lol eu,10
league of legend,10
lol wikipedia,5
lol wow,5
4 lol,5
lolcats,5
meaning of lol,5
lol code,5
lol champions,5
family guy lol,5
lol internet,5
lol pirate,5
lol forum,5
lol en streaming,5
lol pics,5
lol lux,5
lol hehehe,5
lol miss fortune,5
lol skins,5
lol significado,5



Rising searches for lol
lol lux,Breakout
lol swain,Breakout
sona,Breakout
sona lol,Breakout
swain,Breakout
lol miss fortune,+350%
miss fortune,+300%
lol cam,+200%
lol busy,+110%
lolcats,+50%



