Web Search interest: lol
Worldwide May-Jun 2009

Interest over time
Day,lol
2009-05-01,99
2009-05-02,93
2009-05-03,89
2009-05-04,75
2009-05-05,82
2009-05-06,80
2009-05-07,83
2009-05-08,92
2009-05-09,95
2009-05-10,94
2009-05-11,72
2009-05-12,82
2009-05-13,86
2009-05-14,84
2009-05-15,87
2009-05-16,93
2009-05-17,93
2009-05-18,79
2009-05-19,81
2009-05-20,88
2009-05-21,88
2009-05-22,94
2009-05-23,94
2009-05-24,92
2009-05-25,73
2009-05-26,77
2009-05-27,77
2009-05-28,75
2009-05-29,78
2009-05-30,88
2009-05-31,86
2009-06-01,80
2009-06-02,79
2009-06-03,73
2009-06-04,80
2009-06-05,80
2009-06-06,97
2009-06-07,91
2009-06-08,73
2009-06-09,75
2009-06-10,78
2009-06-11,79
2009-06-12,83
2009-06-13,94
2009-06-14,93
2009-06-15,76
2009-06-16,82
2009-06-17,82
2009-06-18,78
2009-06-19,86
2009-06-20,90
2009-06-21,89
2009-06-22,75
2009-06-23,84
2009-06-24,81
2009-06-25,84
2009-06-26,91
2009-06-27,100
2009-06-28,96
2009-06-29,84
2009-06-30,87


Top regions for lol
Region,lol
France,100
Australia,77
Canada,56
United Kingdom,51
Poland,50
United States,41
Germany,36
Spain,29


Top cities for lol
Town/City,lol
Marseilles (France),100
Courbevoie (France),98
Paris (France),77
Lisbon (Portugal),73
Brussels (Belgium),49
Warsaw (Poland),46
Montréal (Canada),46
Toronto (Canada),45
New York (United States),38
Amsterdam (Netherlands),36
Los Angeles (United States),35
London (United Kingdom),35
Frankfurt (Germany),25
Madrid (Spain),24



Top searches for lol
lol cats,100
lol cat,25
lol streaming,20
lol que,20
lol games,15
lol lyrics,15
lol en streaming,15
lol torrent,10
lol meaning,10
4 lol,10
lol dogs,10
what is lol,10
que significa lol,10
lol internet,10
lmao,5
lol face,5
lol wut,5
lol catz,5
rofl,5
lol pics,5
xd,5
lol pictures,5
lol wiki,5
lol wikipedia,5
lolcats,5
lol means,5
wtf,5
regarder lol,5



Rising searches for lol
lol face,+120%
lol meaning,+70%
lol lyrics,+50%
que significa lol,+50%
lmao,+40%



