Web Search interest: dota 2 wikipedia
Worldwide Jul-Aug 2014

Interest over time
Week,dota 2 wikipedia
2014-07-06 - 2014-07-12,55
2014-07-13 - 2014-07-19,69
2014-07-20 - 2014-07-26,100
2014-07-27 - 2014-08-02,58
2014-08-03 - 2014-08-09,73
2014-08-10 - 2014-08-16,47
2014-08-17 - 2014-08-23,53
2014-08-24 - 2014-08-30,59
2014-08-31 - 2014-09-06,52









