Web Search interest: strife
Worldwide Jan-Feb 2010

Interest over time
Day,strife
2010-01-01,0
2010-01-02,77
2010-01-03,69
2010-01-04,69
2010-01-05,69
2010-01-06,47
2010-01-07,48
2010-01-08,66
2010-01-09,84
2010-01-10,57
2010-01-11,57
2010-01-12,49
2010-01-13,63
2010-01-14,57
2010-01-15,51
2010-01-16,100
2010-01-17,68
2010-01-18,79
2010-01-19,70
2010-01-20,53
2010-01-21,47
2010-01-22,46
2010-01-23,79
2010-01-24,67
2010-01-25,48
2010-01-26,67
2010-01-27,47
2010-01-28,64
2010-01-29,49
2010-01-30,88
2010-01-31,73
2010-02-01,59
2010-02-02,61
2010-02-03,60
2010-02-04,54
2010-02-05,65
2010-02-06,69
2010-02-07,85
2010-02-08,59
2010-02-09,57
2010-02-10,65
2010-02-11,60
2010-02-12,54
2010-02-13,57
2010-02-14,62
2010-02-15,78
2010-02-16,48
2010-02-17,67
2010-02-18,58
2010-02-19,54
2010-02-20,60
2010-02-21,67
2010-02-22,75
2010-02-23,67
2010-02-24,68
2010-02-25,46
2010-02-26,67
2010-02-27,72
2010-02-28,87



Top searches for strife
cloud,100
cloud strife,100






