Web Search interest: strife
Worldwide May-Jun 2010

Interest over time
Day,strife
2010-05-01,72
2010-05-02,66
2010-05-03,47
2010-05-04,53
2010-05-05,63
2010-05-06,68
2010-05-07,67
2010-05-08,71
2010-05-09,64
2010-05-10,52
2010-05-11,54
2010-05-12,64
2010-05-13,74
2010-05-14,50
2010-05-15,90
2010-05-16,81
2010-05-17,65
2010-05-18,63
2010-05-19,61
2010-05-20,48
2010-05-21,58
2010-05-22,75
2010-05-23,85
2010-05-24,66
2010-05-25,55
2010-05-26,71
2010-05-27,57
2010-05-28,61
2010-05-29,78
2010-05-30,84
2010-05-31,49
2010-06-01,43
2010-06-02,66
2010-06-03,51
2010-06-04,58
2010-06-05,65
2010-06-06,69
2010-06-07,77
2010-06-08,59
2010-06-09,47
2010-06-10,61
2010-06-11,66
2010-06-12,72
2010-06-13,77
2010-06-14,44
2010-06-15,54
2010-06-16,60
2010-06-17,67
2010-06-18,48
2010-06-19,74
2010-06-20,100
2010-06-21,47
2010-06-22,72
2010-06-23,75
2010-06-24,68
2010-06-25,67
2010-06-26,58
2010-06-27,58
2010-06-28,58
2010-06-29,50
2010-06-30,64



Top searches for strife
cloud strife,100






