Web Search interest: strife
Worldwide Nov-Dec 2009

Interest over time
Day,strife
2009-11-01,100
2009-11-02,53
2009-11-03,69
2009-11-04,68
2009-11-05,54
2009-11-06,60
2009-11-07,69
2009-11-08,78
2009-11-09,70
2009-11-10,53
2009-11-11,53
2009-11-12,59
2009-11-13,58
2009-11-14,61
2009-11-15,64
2009-11-16,64
2009-11-17,68
2009-11-18,58
2009-11-19,65
2009-11-20,51
2009-11-21,62
2009-11-22,72
2009-11-23,59
2009-11-24,54
2009-11-25,54
2009-11-26,55
2009-11-27,63
2009-11-28,71
2009-11-29,59
2009-11-30,57
2009-12-01,71
2009-12-02,45
2009-12-03,55
2009-12-04,58
2009-12-05,60
2009-12-06,74
2009-12-07,81
2009-12-08,63
2009-12-09,45
2009-12-10,52
2009-12-11,54
2009-12-12,80
2009-12-13,89
2009-12-14,63
2009-12-15,49
2009-12-16,55
2009-12-17,55
2009-12-18,81
2009-12-19,67
2009-12-20,51
2009-12-21,51
2009-12-22,60
2009-12-23,70
2009-12-24,79
2009-12-25,51
2009-12-26,51
2009-12-27,51
2009-12-28,51
2009-12-29,51
2009-12-30,59
2009-12-31,67



Top searches for strife
cloud,100
cloud strife,100






