Web Search interest: strife
Worldwide Sep-Oct 2010

Interest over time
Day,strife
2010-09-01,69
2010-09-02,61
2010-09-03,65
2010-09-04,69
2010-09-05,92
2010-09-06,64
2010-09-07,68
2010-09-08,70
2010-09-09,49
2010-09-10,71
2010-09-11,86
2010-09-12,100
2010-09-13,56
2010-09-14,66
2010-09-15,65
2010-09-16,56
2010-09-17,55
2010-09-18,78
2010-09-19,78
2010-09-20,60
2010-09-21,48
2010-09-22,67
2010-09-23,49
2010-09-24,58
2010-09-25,80
2010-09-26,92
2010-09-27,68
2010-09-28,55
2010-09-29,53
2010-09-30,56
2010-10-01,50
2010-10-02,76
2010-10-03,79
2010-10-04,68
2010-10-05,59
2010-10-06,68
2010-10-07,50
2010-10-08,75
2010-10-09,78
2010-10-10,60
2010-10-11,64
2010-10-12,62
2010-10-13,61
2010-10-14,67
2010-10-15,73
2010-10-16,82
2010-10-17,92
2010-10-18,66
2010-10-19,58
2010-10-20,61
2010-10-21,53
2010-10-22,49
2010-10-23,55
2010-10-24,73
2010-10-25,61
2010-10-26,58
2010-10-27,72
2010-10-28,77
2010-10-29,63
2010-10-30,78
2010-10-31,65



Top searches for strife
cloud strife,100






