Web Search interest: strife
Worldwide Sep-Oct 2014

Interest over time
Day,strife
2014-09-01,33
2014-09-02,37
2014-09-03,34
2014-09-04,29
2014-09-05,34
2014-09-06,39
2014-09-07,67
2014-09-08,44
2014-09-09,46
2014-09-10,46
2014-09-11,39
2014-09-12,42
2014-09-13,100
2014-09-14,77
2014-09-15,48
2014-09-16,42
2014-09-17,33
2014-09-18,31
2014-09-19,39
2014-09-20,44
2014-09-21,41
2014-09-22,31
2014-09-23,30
2014-09-24,33
2014-09-25,31
2014-09-26,31
2014-09-27,38
2014-09-28,40
2014-09-29,25
2014-09-30,31
2014-10-01,30
2014-10-02,33
2014-10-03,32
2014-10-04,41
2014-10-05,37
2014-10-06,22
2014-10-07,24
2014-10-08,29
2014-10-09,26
2014-10-10,27
2014-10-11,26
2014-10-12,30
2014-10-13,29
2014-10-14,24
2014-10-15,22
2014-10-16,20
2014-10-17,23
2014-10-18,23
2014-10-19,26
2014-10-20,18
2014-10-21,18
2014-10-22,19
2014-10-23,18
2014-10-24,17
2014-10-25,27
2014-10-26,22
2014-10-27,19
2014-10-28,21
2014-10-29,21
2014-10-30,18
2014-10-31,18


Top regions for strife
Region,strife
Russia,100
Brazil,68
United States,61
United Kingdom,43


Top cities for strife
City,strife
London (United Kingdom),100



Top searches for strife
cloud strife,100
download strife,55
strife game,50
moba,50
strife moba,50
strife definition,45
strife online,30
strife heroes,30
strife guide,30
strife meaning,25
strife youtube,25
define strife,20
what is strife,20
strife wiki,20
strife gameplay,15



Rising searches for strife
strife guide,+100%
download strife,+70%



