Web Search interest: lol team
Worldwide Mar-Apr 2011

Interest over time
Week,lol team
2011-03-06 - 2011-03-12,64
2011-03-13 - 2011-03-19,78
2011-03-20 - 2011-03-26,78
2011-03-27 - 2011-04-02,84
2011-04-03 - 2011-04-09,79
2011-04-10 - 2011-04-16,77
2011-04-17 - 2011-04-23,100
2011-04-24 - 2011-04-30,85









