Web Search interest: lol team
Worldwide Sep-Oct 2011

Interest over time
Week,lol team
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,92
2011-09-18 - 2011-09-24,70
2011-09-25 - 2011-10-01,79
2011-10-02 - 2011-10-08,96
2011-10-09 - 2011-10-15,100
2011-10-16 - 2011-10-22,85
2011-10-23 - 2011-10-29,90
2011-10-30 - 2011-11-05,89









