Web Search interest: lol team
Worldwide Jan-Feb 2013

Interest over time
Day,lol team
2013-01-01,0
2013-01-02,39
2013-01-03,46
2013-01-04,66
2013-01-05,71
2013-01-06,75
2013-01-07,58
2013-01-08,43
2013-01-09,50
2013-01-10,57
2013-01-11,75
2013-01-12,77
2013-01-13,89
2013-01-14,56
2013-01-15,60
2013-01-16,58
2013-01-17,59
2013-01-18,79
2013-01-19,79
2013-01-20,78
2013-01-21,48
2013-01-22,50
2013-01-23,41
2013-01-24,55
2013-01-25,73
2013-01-26,90
2013-01-27,93
2013-01-28,56
2013-01-29,59
2013-01-30,51
2013-01-31,47
2013-02-01,78
2013-02-02,89
2013-02-03,66
2013-02-04,45
2013-02-05,41
2013-02-06,38
2013-02-07,59
2013-02-08,60
2013-02-09,100
2013-02-10,73
2013-02-11,55
2013-02-12,59
2013-02-13,56
2013-02-14,56
2013-02-15,56
2013-02-16,81
2013-02-17,63
2013-02-18,49
2013-02-19,52
2013-02-20,50
2013-02-21,47
2013-02-22,54
2013-02-23,75
2013-02-24,75
2013-02-25,53
2013-02-26,45
2013-02-27,50
2013-02-28,57









