Web Search interest: lol team
Worldwide Jul-Aug 2011

Interest over time
Week,lol team
2011-07-03 - 2011-07-09,64
2011-07-10 - 2011-07-16,59
2011-07-17 - 2011-07-23,51
2011-07-24 - 2011-07-30,52
2011-07-31 - 2011-08-06,62
2011-08-07 - 2011-08-13,54
2011-08-14 - 2011-08-20,100
2011-08-21 - 2011-08-27,86
2011-08-28 - 2011-09-03,84









