Web Search interest: lol team
Worldwide Sep-Oct 2012

Interest over time
Day,lol team
2012-09-01,30
2012-09-02,23
2012-09-03,27
2012-09-04,28
2012-09-05,21
2012-09-06,21
2012-09-07,23
2012-09-08,25
2012-09-09,26
2012-09-10,19
2012-09-11,15
2012-09-12,15
2012-09-13,22
2012-09-14,26
2012-09-15,30
2012-09-16,26
2012-09-17,18
2012-09-18,21
2012-09-19,18
2012-09-20,18
2012-09-21,24
2012-09-22,36
2012-09-23,25
2012-09-24,28
2012-09-25,16
2012-09-26,24
2012-09-27,20
2012-09-28,18
2012-09-29,19
2012-09-30,27
2012-10-01,19
2012-10-02,19
2012-10-03,100
2012-10-04,58
2012-10-05,50
2012-10-06,69
2012-10-07,44
2012-10-08,32
2012-10-09,22
2012-10-10,22
2012-10-11,28
2012-10-12,25
2012-10-13,36
2012-10-14,45
2012-10-15,23
2012-10-16,17
2012-10-17,21
2012-10-18,19
2012-10-19,19
2012-10-20,28
2012-10-21,28
2012-10-22,23
2012-10-23,20
2012-10-24,16
2012-10-25,22
2012-10-26,24
2012-10-27,24
2012-10-28,28
2012-10-29,20
2012-10-30,22
2012-10-31,21



Top searches for lol team
best lol team,100
team solomid,75






