Web Search interest: team empire
Worldwide Jan-Feb 2014

Interest over time
Week,team empire
2014-01-05 - 2014-01-11,62
2014-01-12 - 2014-01-18,100
2014-01-19 - 2014-01-25,87
2014-01-26 - 2014-02-01,96
2014-02-02 - 2014-02-08,96
2014-02-09 - 2014-02-15,77
2014-02-16 - 2014-02-22,84
2014-02-23 - 2014-03-01,92









