Web Search interest: team empire
Worldwide Jul-Aug 2014

Interest over time
Week,team empire
2014-07-06 - 2014-07-12,89
2014-07-13 - 2014-07-19,59
2014-07-20 - 2014-07-26,49
2014-07-27 - 2014-08-02,52
2014-08-03 - 2014-08-09,40
2014-08-10 - 2014-08-16,42
2014-08-17 - 2014-08-23,100
2014-08-24 - 2014-08-30,87
2014-08-31 - 2014-09-06,78









