Web Search interest: lcs
Worldwide Nov-Dec 2015

Interest over time
Day,lcs
2015-11-01,100
2015-11-02,71
2015-11-03,52
2015-11-04,51
2015-11-05,49
2015-11-06,50
2015-11-07,43
2015-11-08,45
2015-11-09,50
2015-11-10,43
2015-11-11,41
2015-11-12,43
2015-11-13,39
2015-11-14,38
2015-11-15,41
2015-11-16,54
2015-11-17,53
2015-11-18,51
2015-11-19,47
2015-11-20,47
2015-11-21,51
2015-11-22,59
2015-11-23,52
2015-11-24,48
2015-11-25,39
2015-11-26,47
2015-11-27,37
2015-11-28,38
2015-11-29,40
2015-11-30,46
2015-12-01,46
2015-12-02,49
2015-12-03,46
2015-12-04,47
2015-12-05,37
2015-12-06,39
2015-12-07,48
2015-12-08,57
2015-12-09,67
2015-12-10,70
2015-12-11,87
2015-12-12,85
2015-12-13,73
2015-12-14,71
2015-12-15,58
2015-12-16,47
2015-12-17,57
2015-12-18,63
2015-12-19,60
2015-12-20,45
2015-12-21,47
2015-12-22,51
2015-12-23,52
2015-12-24, 
2015-12-25, 


Top regions for lcs
Region,lcs
France,100
United States,53


Top cities for lcs
City,lcs
Caen (France),100
Paris (France),2



Top searches for lcs
lol lcs,100
lcs na,95
lcs 2016,75
lcs 2015,70
lcs eu,50
gta lcs,45
lcs teams,30
na lcs 2016,25
lcs roster changes,20
lcs 5,15
eu lcs 2016,15



Rising searches for lcs
lcs roster changes,Breakout
na lcs 2016,+950%
lcs 2016,+900%
gta lcs,+150%
lcs teams,+130%
lcs na,+110%
lcs eu,+40%



