Web Search interest: lcs
Worldwide Nov-Dec 2014

Interest over time
Day,lcs
2014-11-01,38
2014-11-02,49
2014-11-03,46
2014-11-04,44
2014-11-05,45
2014-11-06,40
2014-11-07,43
2014-11-08,43
2014-11-09,38
2014-11-10,46
2014-11-11,46
2014-11-12,42
2014-11-13,43
2014-11-14,40
2014-11-15,61
2014-11-16,68
2014-11-17,54
2014-11-18,46
2014-11-19,45
2014-11-20,53
2014-11-21,45
2014-11-22,69
2014-11-23,80
2014-11-24,56
2014-11-25,57
2014-11-26,47
2014-11-27,49
2014-11-28,48
2014-11-29,56
2014-11-30,71
2014-12-01,52
2014-12-02,50
2014-12-03,46
2014-12-04,51
2014-12-05,48
2014-12-06,50
2014-12-07,71
2014-12-08,56
2014-12-09,53
2014-12-10,53
2014-12-11,50
2014-12-12,57
2014-12-13,88
2014-12-14,100
2014-12-15,69
2014-12-16,59
2014-12-17,55
2014-12-18,72
2014-12-19,67
2014-12-20,71
2014-12-21,75
2014-12-22,50
2014-12-23,51
2014-12-24,44
2014-12-25,42
2014-12-26,44
2014-12-27,40
2014-12-28,46
2014-12-29,45
2014-12-30,44
2014-12-31,48


Top regions for lcs
Region,lcs
France,100
United States,43


Top cities for lcs
City,lcs
Caen (France),100



Top searches for lcs
lol lcs,100
lcs na,75
lcs expansion,70
gta lcs,55
lcs 2015,55
lcs expansion tournament,50
eu lcs,50
lcs 2014,40
na lcs expansion,25
lcs schedule,15
lcs eu expansion,15



Rising searches for lcs
lcs eu expansion,Breakout
na lcs expansion,Breakout
lcs expansion,+1,750%
lcs expansion tournament,+1,750%
lcs 2015,+500%
lcs roster changes,+350%
gta lcs,+140%
eu lcs,+90%



