Web Search interest: lcs
Worldwide Sep-Oct 2015

Interest over time
Day,lcs
2015-09-01,50
2015-09-02,35
2015-09-03,27
2015-09-04,30
2015-09-05,50
2015-09-06,40
2015-09-07,30
2015-09-08,25
2015-09-09,22
2015-09-10,24
2015-09-11,21
2015-09-12,32
2015-09-13,28
2015-09-14,26
2015-09-15,26
2015-09-16,20
2015-09-17,18
2015-09-18,21
2015-09-19,20
2015-09-20,20
2015-09-21,18
2015-09-22,16
2015-09-23,17
2015-09-24,18
2015-09-25,18
2015-09-26,19
2015-09-27,19
2015-09-28,21
2015-09-29,23
2015-09-30,29
2015-10-01,100
2015-10-02,85
2015-10-03,93
2015-10-04,92
2015-10-05,40
2015-10-06,28
2015-10-07,29
2015-10-08,59
2015-10-09,59
2015-10-10,69
2015-10-11,81
2015-10-12,33
2015-10-13,24
2015-10-14,25
2015-10-15,54
2015-10-16,52
2015-10-17,62
2015-10-18,49
2015-10-19,25
2015-10-20,21
2015-10-21,19
2015-10-22,20
2015-10-23,23
2015-10-24,58
2015-10-25,52
2015-10-26,22
2015-10-27,16
2015-10-28,14
2015-10-29,18
2015-10-30,19
2015-10-31,67


Top regions for lcs
Region,lcs
France,100
Spain,94
Canada,91
Poland,80
Germany,65
United States,50
United Kingdom,39


Top cities for lcs
City,lcs
Caen (France),100
Toronto (Canada),7
Madrid (Spain),5
Paris (France),4
Warsaw (Poland),4
New York (United States),3
London (United Kingdom),2



Top searches for lcs
lol lcs,100
lcs 2015,95
lcs worlds,60
league lcs,50
na lcs,35
lcs worlds 2015,30
lcs schedule,30
world lcs,30
lcs eu,30
lol lcs 2015,25
lcs youtube,15
lcs championship,15
gta lcs,15
lcs world 2015,15
lcs twitch,15
lcs esports,10
live lcs,10
lcs standings,10
fnatic,10
lcs finals,10
lcs teams,10
lol worlds 2015,5
lcs eu 2015,5
lcs worlds schedule,5
origen lcs,5
lcs stream,5
remilia lcs,5
remilia,5
coq sportif,5
watch lcs,5



Rising searches for lcs
lcs worlds schedule,Breakout
lcs worlds 2015,+650%
lcs worlds,+550%
lol worlds 2015,+400%
lcs world 2015,+300%
world lcs,+250%
lcs championship,+90%
lol lcs 2015,+70%
lol lcs schedule,+50%
gta lcs,+40%



