Web Search interest: lcs
Worldwide May-Jun 2013

Interest over time
Day,lcs
2013-05-01,16
2013-05-02,15
2013-05-03,32
2013-05-04,29
2013-05-05,42
2013-05-06,39
2013-05-07,22
2013-05-08,16
2013-05-09,16
2013-05-10,22
2013-05-11,33
2013-05-12,43
2013-05-13,27
2013-05-14,15
2013-05-15,14
2013-05-16,14
2013-05-17,13
2013-05-18,14
2013-05-19,13
2013-05-20,13
2013-05-21,14
2013-05-22,13
2013-05-23,16
2013-05-24,55
2013-05-25,53
2013-05-26,41
2013-05-27,18
2013-05-28,14
2013-05-29,13
2013-05-30,13
2013-05-31,11
2013-06-01,12
2013-06-02,13
2013-06-03,13
2013-06-04,13
2013-06-05,13
2013-06-06,13
2013-06-07,11
2013-06-08,11
2013-06-09,15
2013-06-10,14
2013-06-11,16
2013-06-12,40
2013-06-13,64
2013-06-14,56
2013-06-15,100
2013-06-16,76
2013-06-17,49
2013-06-18,24
2013-06-19,20
2013-06-20,36
2013-06-21,60
2013-06-22,76
2013-06-23,62
2013-06-24,25
2013-06-25,19
2013-06-26,20
2013-06-27,21
2013-06-28,29
2013-06-29,83
2013-06-30,84


Top regions for lcs
Region,lcs
France,100
Poland,87
Canada,77
Germany,62
United States,43
United Kingdom,32


Top cities for lcs
Town/City,lcs
Caen (France),100
Paris (France),2
New York (United States),1
London (United Kingdom),1



Top searches for lcs
lol lcs,100
lcs na,80
eu lcs,75
league lcs,65
summer lcs,60
lcs 2013,50
gta lcs,30
youtube lcs,25
lcs stream,25
twitch lcs,25
lcs all star,20
lcs summer split,15
lcs na summer,15
lcs eu summer,15
lcs summer 2013,15
lcs 2,15
lcs 2013 eu,10
lcs na lol,10
leaguepedia lcs,10
lol lcs eu,10
lcs summer promotion,10
lcs europe,10
leaguepedia,10
lcs 2013 na,10
lcs live,10
lcs esports,10
lcs schedule,10
lcs wiki,10
clg,10
lcs riot,5
lcs all stars,5
gta lcs cheats,5
mlg,5
lol stream,5



Rising searches for lcs
lcs eu summer,Breakout
lcs na summer,Breakout
lcs summer 2013,Breakout
lcs summer promotion,Breakout
lcs summer split,Breakout
summer lcs,+1,900%
mlg,+90%
lcs all stars,+60%
lcs 2,+40%
lcs all star,+40%



