Web Search interest: infinite crisis game
Worldwide Jan-Feb 2014

Interest over time
Week,infinite crisis game
2014-01-05 - 2014-01-11,69
2014-01-12 - 2014-01-18,64
2014-01-19 - 2014-01-25,63
2014-01-26 - 2014-02-01,80
2014-02-02 - 2014-02-08,87
2014-02-09 - 2014-02-15,84
2014-02-16 - 2014-02-22,71
2014-02-23 - 2014-03-01,100









