Web Search interest: evil geniuses
Worldwide May-Jun 2014

Interest over time
Day,evil geniuses
2014-05-01,0
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,48
2014-05-06,48
2014-05-07,48
2014-05-08,47
2014-05-09,50
2014-05-10,52
2014-05-11,55
2014-05-12,39
2014-05-13,34
2014-05-14,34
2014-05-15,35
2014-05-16,0
2014-05-17,0
2014-05-18,0
2014-05-19,0
2014-05-20,0
2014-05-21,37
2014-05-22,40
2014-05-23,43
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,0
2014-05-28,0
2014-05-29,0
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,44
2014-06-07,87
2014-06-08,85
2014-06-09,57
2014-06-10,58
2014-06-11,59
2014-06-12,60
2014-06-13,61
2014-06-14,62
2014-06-15,68
2014-06-16,45
2014-06-17,45
2014-06-18,45
2014-06-19,45
2014-06-20,47
2014-06-21,49
2014-06-22,50
2014-06-23,52
2014-06-24,38
2014-06-25,51
2014-06-26,63
2014-06-27,75
2014-06-28,88
2014-06-29,100
2014-06-30,53









