Web Search interest: dota 2 heroes
Worldwide Jan-Feb 2015

Interest over time
Day,dota 2 heroes
2015-01-01,65
2015-01-02,65
2015-01-03,55
2015-01-04,66
2015-01-05,51
2015-01-06,69
2015-01-07,61
2015-01-08,55
2015-01-09,58
2015-01-10,81
2015-01-11,74
2015-01-12,61
2015-01-13,53
2015-01-14,58
2015-01-15,67
2015-01-16,53
2015-01-17,81
2015-01-18,75
2015-01-19,51
2015-01-20,57
2015-01-21,62
2015-01-22,63
2015-01-23,62
2015-01-24,90
2015-01-25,75
2015-01-26,62
2015-01-27,60
2015-01-28,59
2015-01-29,62
2015-01-30,63
2015-01-31,69
2015-02-01,62
2015-02-02,65
2015-02-03,61
2015-02-04,62
2015-02-05,61
2015-02-06,66
2015-02-07,73
2015-02-08,69
2015-02-09,69
2015-02-10,74
2015-02-11,98
2015-02-12,77
2015-02-13,77
2015-02-14,95
2015-02-15,100
2015-02-16,79
2015-02-17,83
2015-02-18,77
2015-02-19,61
2015-02-20,69
2015-02-21,90
2015-02-22,84
2015-02-23,55
2015-02-24,73
2015-02-25,72
2015-02-26,69
2015-02-27,67
2015-02-28,71




Top cities for dota 2 heroes
Town/City,dota 2 heroes
Quezon City (Philippines),100



Top searches for dota 2 heroes
dota 1 heroes,100






