Web Search interest: dota 2 heroes
Worldwide Nov-Dec 2015

Interest over time
Day,dota 2 heroes
2015-11-01,67
2015-11-02,45
2015-11-03,52
2015-11-04,55
2015-11-05,48
2015-11-06,51
2015-11-07,65
2015-11-08,59
2015-11-09,42
2015-11-10,50
2015-11-11,44
2015-11-12,50
2015-11-13,53
2015-11-14,59
2015-11-15,54
2015-11-16,48
2015-11-17,45
2015-11-18,42
2015-11-19,55
2015-11-20,50
2015-11-21,65
2015-11-22,48
2015-11-23,43
2015-11-24,43
2015-11-25,47
2015-11-26,45
2015-11-27,48
2015-11-28,54
2015-11-29,51
2015-11-30,49
2015-12-01,46
2015-12-02,46
2015-12-03,54
2015-12-04,46
2015-12-05,68
2015-12-06,50
2015-12-07,45
2015-12-08,42
2015-12-09,43
2015-12-10,46
2015-12-11,59
2015-12-12,66
2015-12-13,58
2015-12-14,47
2015-12-15,57
2015-12-16,100
2015-12-17,94
2015-12-18,58
2015-12-19,65
2015-12-20,67
2015-12-21,66
2015-12-22,68
2015-12-23,59
2015-12-24,64
2015-12-25, 
2015-12-26, 



Top searches for dota 2 heroes
dota 1 heroes,100






