Web Search interest: dota 2 heroes
Worldwide Nov-Dec 2014

Interest over time
Day,dota 2 heroes
2014-11-01,59
2014-11-02,73
2014-11-03,58
2014-11-04,66
2014-11-05,58
2014-11-06,58
2014-11-07,56
2014-11-08,72
2014-11-09,74
2014-11-10,54
2014-11-11,61
2014-11-12,52
2014-11-13,55
2014-11-14,55
2014-11-15,94
2014-11-16,93
2014-11-17,62
2014-11-18,58
2014-11-19,80
2014-11-20,64
2014-11-21,100
2014-11-22,82
2014-11-23,85
2014-11-24,63
2014-11-25,68
2014-11-26,66
2014-11-27,65
2014-11-28,65
2014-11-29,69
2014-11-30,61
2014-12-01,58
2014-12-02,62
2014-12-03,55
2014-12-04,47
2014-12-05,66
2014-12-06,71
2014-12-07,70
2014-12-08,59
2014-12-09,59
2014-12-10,64
2014-12-11,67
2014-12-12,55
2014-12-13,66
2014-12-14,65
2014-12-15,52
2014-12-16,54
2014-12-17,65
2014-12-18,63
2014-12-19,65
2014-12-20,72
2014-12-21,71
2014-12-22,68
2014-12-23,62
2014-12-24,62
2014-12-25,65
2014-12-26,67
2014-12-27,63
2014-12-28,63
2014-12-29,74
2014-12-30,71
2014-12-31,59



Top searches for dota 2 heroes
dota 1 heroes,100






