Web Search interest: dota 2 heroes
Worldwide Mar-Apr 2015

Interest over time
Day,dota 2 heroes
2015-03-01,91
2015-03-02,69
2015-03-03,66
2015-03-04,62
2015-03-05,71
2015-03-06,79
2015-03-07,89
2015-03-08,83
2015-03-09,76
2015-03-10,67
2015-03-11,73
2015-03-12,72
2015-03-13,79
2015-03-14,82
2015-03-15,79
2015-03-16,72
2015-03-17,69
2015-03-18,64
2015-03-19,69
2015-03-20,75
2015-03-21,91
2015-03-22,100
2015-03-23,64
2015-03-24,65
2015-03-25,79
2015-03-26,46
2015-03-27,65
2015-03-28,74
2015-03-29,80
2015-03-30,67
2015-03-31,67
2015-04-01,61
2015-04-02,58
2015-04-03,83
2015-04-04,94
2015-04-05,78
2015-04-06,81
2015-04-07,71
2015-04-08,71
2015-04-09,57
2015-04-10,69
2015-04-11,74
2015-04-12,91
2015-04-13,60
2015-04-14,62
2015-04-15,54
2015-04-16,75
2015-04-17,78
2015-04-18,78
2015-04-19,76
2015-04-20,67
2015-04-21,71
2015-04-22,64
2015-04-23,67
2015-04-24,82
2015-04-25,78
2015-04-26,81
2015-04-27,75
2015-04-28,89
2015-04-29,78
2015-04-30,81









