Web Search interest: dota 2 heroes
Worldwide Sep-Oct 2015

Interest over time
Day,dota 2 heroes
2015-09-01,61
2015-09-02,77
2015-09-03,79
2015-09-04,76
2015-09-05,86
2015-09-06,84
2015-09-07,72
2015-09-08,69
2015-09-09,74
2015-09-10,67
2015-09-11,73
2015-09-12,80
2015-09-13,79
2015-09-14,67
2015-09-15,75
2015-09-16,59
2015-09-17,71
2015-09-18,53
2015-09-19,96
2015-09-20,79
2015-09-21,62
2015-09-22,64
2015-09-23,50
2015-09-24,62
2015-09-25,100
2015-09-26,96
2015-09-27,84
2015-09-28,69
2015-09-29,65
2015-09-30,62
2015-10-01,55
2015-10-02,60
2015-10-03,83
2015-10-04,78
2015-10-05,60
2015-10-06,62
2015-10-07,68
2015-10-08,63
2015-10-09,59
2015-10-10,65
2015-10-11,84
2015-10-12,60
2015-10-13,63
2015-10-14,67
2015-10-15,54
2015-10-16,52
2015-10-17,70
2015-10-18,79
2015-10-19,55
2015-10-20,61
2015-10-21,52
2015-10-22,56
2015-10-23,53
2015-10-24,61
2015-10-25,66
2015-10-26,56
2015-10-27,54
2015-10-28,71
2015-10-29,61
2015-10-30,65
2015-10-31,74




Top cities for dota 2 heroes
Town/City,dota 2 heroes
Quezon City (Philippines),100









