Web Search interest: dotacinema
Worldwide May-Jun 2014

Interest over time
Day,dotacinema
2014-05-01,67
2014-05-02,58
2014-05-03,77
2014-05-04,91
2014-05-05,47
2014-05-06,57
2014-05-07,57
2014-05-08,66
2014-05-09,64
2014-05-10,64
2014-05-11,86
2014-05-12,77
2014-05-13,65
2014-05-14,78
2014-05-15,70
2014-05-16,69
2014-05-17,91
2014-05-18,69
2014-05-19,53
2014-05-20,60
2014-05-21,72
2014-05-22,60
2014-05-23,61
2014-05-24,69
2014-05-25,68
2014-05-26,68
2014-05-27,60
2014-05-28,66
2014-05-29,72
2014-05-30,81
2014-05-31,100
2014-06-01,82
2014-06-02,73
2014-06-03,82
2014-06-04,68
2014-06-05,66
2014-06-06,67
2014-06-07,91
2014-06-08,95
2014-06-09,93
2014-06-10,73
2014-06-11,65
2014-06-12,0
2014-06-13,0
2014-06-14,0
2014-06-15,0
2014-06-16,0
2014-06-17,71
2014-06-18,69
2014-06-19,69
2014-06-20,94
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,57
2014-06-27,64
2014-06-28,70
2014-06-29,77
2014-06-30,84









