Web Search interest: dotacinema
Worldwide Jan-Feb 2014

Interest over time
Day,dotacinema
2014-01-01,69
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,50
2014-01-08,50
2014-01-09,50
2014-01-10,50
2014-01-11,72
2014-01-12,65
2014-01-13,59
2014-01-14,58
2014-01-15,58
2014-01-16,58
2014-01-17,58
2014-01-18,70
2014-01-19,83
2014-01-20,76
2014-01-21,51
2014-01-22,48
2014-01-23,52
2014-01-24,58
2014-01-25,64
2014-01-26,69
2014-01-27,74
2014-01-28,79
2014-01-29,72
2014-01-30,100
2014-01-31,71
2014-02-01,61
2014-02-02,63
2014-02-03,65
2014-02-04,67
2014-02-05,69
2014-02-06,0
2014-02-07,0
2014-02-08,0
2014-02-09,0
2014-02-10,0
2014-02-11,0
2014-02-12,65
2014-02-13,66
2014-02-14,57
2014-02-15,77
2014-02-16,59
2014-02-17,54
2014-02-18,75
2014-02-19,80
2014-02-20,81
2014-02-21,87
2014-02-22,83
2014-02-23,81
2014-02-24,82
2014-02-25,73
2014-02-26,68
2014-02-27,56
2014-02-28,74









