Web Search interest: dayz overwatch
Worldwide Jul-Aug 2014

Interest over time
Week,dayz overwatch
2014-07-06 - 2014-07-12,89
2014-07-13 - 2014-07-19,85
2014-07-20 - 2014-07-26,100
2014-07-27 - 2014-08-02,79
2014-08-03 - 2014-08-09,84
2014-08-10 - 2014-08-16,71
2014-08-17 - 2014-08-23,61
2014-08-24 - 2014-08-30,71
2014-08-31 - 2014-09-06,60









