Web Search interest: dayz overwatch
Worldwide Jan-Feb 2015

Interest over time
Week,dayz overwatch
2015-01-04 - 2015-01-10,100
2015-01-11 - 2015-01-17,82
2015-01-18 - 2015-01-24,61
2015-01-25 - 2015-01-31,74
2015-02-01 - 2015-02-07,56
2015-02-08 - 2015-02-14,83
2015-02-15 - 2015-02-21,77
2015-02-22 - 2015-02-28,77









