Web Search interest: dayz overwatch
Worldwide Jul-Aug 2014

Interest over time
Week,dayz overwatch
2014-07-06 - 2014-07-12,100
2014-07-13 - 2014-07-19,89
2014-07-20 - 2014-07-26,76
2014-07-27 - 2014-08-02,78
2014-08-03 - 2014-08-09,85
2014-08-10 - 2014-08-16,85
2014-08-17 - 2014-08-23,52
2014-08-24 - 2014-08-30,55
2014-08-31 - 2014-09-06,52









