Web Search interest: dayz overwatch
Worldwide Jan-Feb 2014

Interest over time
Week,dayz overwatch
2014-01-05 - 2014-01-11,78
2014-01-12 - 2014-01-18,86
2014-01-19 - 2014-01-25,100
2014-01-26 - 2014-02-01,93
2014-02-02 - 2014-02-08,69
2014-02-09 - 2014-02-15,74
2014-02-16 - 2014-02-22,57
2014-02-23 - 2014-03-01,57









