Web Search interest: dayz overwatch
Worldwide Sep-Oct 2013

Interest over time
Week,dayz overwatch
2013-09-01 - 2013-09-07,100
2013-09-08 - 2013-09-14,75
2013-09-15 - 2013-09-21,51
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,30
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,36









