Web Search interest: dota 2 update
Worldwide Jan-Feb 2014

Interest over time
Day,dota 2 update
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,38
2014-01-05,23
2014-01-06,23
2014-01-07,23
2014-01-08,36
2014-01-09,61
2014-01-10,86
2014-01-11,39
2014-01-12,20
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,44
2014-01-19,18
2014-01-20,18
2014-01-21,18
2014-01-22,18
2014-01-23,21
2014-01-24,24
2014-01-25,26
2014-01-26,27
2014-01-27,28
2014-01-28,74
2014-01-29,85
2014-01-30,100
2014-01-31,35
2014-02-01,31
2014-02-02,19
2014-02-03,19
2014-02-04,19
2014-02-05,24
2014-02-06,28
2014-02-07,19
2014-02-08,33
2014-02-09,20
2014-02-10,20
2014-02-11,20
2014-02-12,20
2014-02-13,0
2014-02-14,0
2014-02-15,0
2014-02-16,0
2014-02-17,0
2014-02-18,0
2014-02-19,21
2014-02-20,26
2014-02-21,31
2014-02-22,19
2014-02-23,19
2014-02-24,19
2014-02-25,19
2014-02-26,17
2014-02-27,17
2014-02-28,23









