Web Search interest: dota 2 update
Worldwide Mar-Apr 2015

Interest over time
Week,dota 2 update
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,7
2015-03-15 - 2015-03-21,11
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,7
2015-04-05 - 2015-04-11,6
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,13
2015-04-26 - 2015-05-02,100



Top searches for dota 2 update
dota 2 6.84,100



Rising searches for dota 2 update
dota 2 6.84,Breakout



