Web Search interest: dota 2 update
Worldwide Sep-Oct 2015

Interest over time
Day,dota 2 update
2015-09-01,0
2015-09-02,100
2015-09-03,33
2015-09-04,18
2015-09-05,23
2015-09-06,15
2015-09-07,9
2015-09-08,19
2015-09-09,29
2015-09-10,44
2015-09-11,30
2015-09-12,23
2015-09-13,14
2015-09-14,8
2015-09-15,8
2015-09-16,14
2015-09-17,20
2015-09-18,13
2015-09-19,12
2015-09-20,14
2015-09-21,9
2015-09-22,9
2015-09-23,10
2015-09-24,12
2015-09-25,78
2015-09-26,30
2015-09-27,23
2015-09-28,12
2015-09-29,12
2015-09-30,13
2015-10-01,10
2015-10-02,13
2015-10-03,65
2015-10-04,21
2015-10-05,11
2015-10-06,11
2015-10-07,14
2015-10-08,9
2015-10-09,9
2015-10-10,17
2015-10-11,10
2015-10-12,10
2015-10-13,10
2015-10-14,10
2015-10-15,15
2015-10-16,21
2015-10-17,13
2015-10-18,9
2015-10-19,8
2015-10-20,8
2015-10-21,8
2015-10-22,8
2015-10-23,15
2015-10-24,7
2015-10-25,7
2015-10-26,7
2015-10-27,7
2015-10-28,17
2015-10-29,27
2015-10-30,45
2015-10-31,18




Top cities for dota 2 update
Town/City,dota 2 update
Quezon City (Philippines),100
Jakarta (Indonesia),25



Top searches for dota 2 update
dota 2 reborn,100
dota 2 6.85,75
dota 2 patch,30



Rising searches for dota 2 update
dota 2 6.85,Breakout
dota 2 reborn,+100%
dota 2 patch,+40%



