Web Search interest: dota 2 update
Worldwide Jul-Aug 2014

Interest over time
Day,dota 2 update
2014-07-01,46
2014-07-02,21
2014-07-03,21
2014-07-04,95
2014-07-05,39
2014-07-06,39
2014-07-07,39
2014-07-08,39
2014-07-09,20
2014-07-10,18
2014-07-11,18
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,55
2014-07-18,22
2014-07-19,22
2014-07-20,28
2014-07-21,24
2014-07-22,26
2014-07-23,19
2014-07-24,19
2014-07-25,25
2014-07-26,30
2014-07-27,19
2014-07-28,19
2014-07-29,19
2014-07-30,19
2014-07-31,69
2014-08-01,52
2014-08-02,52
2014-08-03,52
2014-08-04,52
2014-08-05,52
2014-08-06,100
2014-08-07,37
2014-08-08,47
2014-08-09,58
2014-08-10,31
2014-08-11,23
2014-08-12,25
2014-08-13,25
2014-08-14,30
2014-08-15,71
2014-08-16,31
2014-08-17,23
2014-08-18,23
2014-08-19,24
2014-08-20,20
2014-08-21,20
2014-08-22,41
2014-08-23,62
2014-08-24,22
2014-08-25,23
2014-08-26,23
2014-08-27,31
2014-08-28,39
2014-08-29,19
2014-08-30,40
2014-08-31,27









