Web Search interest: dota 2 update
Worldwide May-Jun 2014

Interest over time
Day,dota 2 update
2014-05-01,67
2014-05-02,29
2014-05-03,26
2014-05-04,16
2014-05-05,16
2014-05-06,19
2014-05-07,23
2014-05-08,27
2014-05-09,32
2014-05-10,33
2014-05-11,21
2014-05-12,22
2014-05-13,23
2014-05-14,25
2014-05-15,22
2014-05-16,16
2014-05-17,27
2014-05-18,19
2014-05-19,21
2014-05-20,24
2014-05-21,26
2014-05-22,29
2014-05-23,31
2014-05-24,33
2014-05-25,0
2014-05-26,0
2014-05-27,0
2014-05-28,0
2014-05-29,0
2014-05-30,0
2014-05-31,47
2014-06-01,21
2014-06-02,21
2014-06-03,21
2014-06-04,23
2014-06-05,25
2014-06-06,27
2014-06-07,41
2014-06-08,38
2014-06-09,38
2014-06-10,38
2014-06-11,38
2014-06-12,38
2014-06-13,22
2014-06-14,22
2014-06-15,22
2014-06-16,22
2014-06-17,22
2014-06-18,61
2014-06-19,100
2014-06-20,41
2014-06-21,28
2014-06-22,27
2014-06-23,27
2014-06-24,27
2014-06-25,27
2014-06-26,20
2014-06-27,0
2014-06-28,0
2014-06-29,0
2014-06-30,0









