Web Search interest: overwatch trailer
Worldwide Nov-Dec 2015

Interest over time
Week,overwatch trailer
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,73
2015-11-15 - 2015-11-21,35
2015-11-22 - 2015-11-28,34
2015-11-29 - 2015-12-05,24
2015-12-06 - 2015-12-12,17
2015-12-13 - 2015-12-19,30
2015-12-20 - 2015-12-26,30









