Web Search interest: magicka 2 spells
Worldwide Nov-Dec 2015

Interest over time
Week,magicka 2 spells
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,72
2015-11-15 - 2015-11-21,49
2015-11-22 - 2015-11-28,39
2015-11-29 - 2015-12-05,34
2015-12-06 - 2015-12-12,0
2015-12-13 - 2015-12-19,0
2015-12-20 - 2015-12-26,0









