Web Search interest: lol top
Worldwide Nov-Dec 2015

Interest over time
Day,lol top
2015-11-01,76
2015-11-02,80
2015-11-03,63
2015-11-04,66
2015-11-05,55
2015-11-06,65
2015-11-07,94
2015-11-08,76
2015-11-09,65
2015-11-10,61
2015-11-11,88
2015-11-12,82
2015-11-13,79
2015-11-14,100
2015-11-15,85
2015-11-16,65
2015-11-17,66
2015-11-18,58
2015-11-19,53
2015-11-20,65
2015-11-21,79
2015-11-22,78
2015-11-23,59
2015-11-24,65
2015-11-25,47
2015-11-26,48
2015-11-27,53
2015-11-28,70
2015-11-29,64
2015-11-30,52
2015-12-01,55
2015-12-02,61
2015-12-03,54
2015-12-04,55
2015-12-05,70
2015-12-06,84
2015-12-07,63
2015-12-08,58
2015-12-09,59
2015-12-10,53
2015-12-11,53
2015-12-12,76
2015-12-13,76
2015-12-14,46
2015-12-15,53
2015-12-16,66
2015-12-17,62
2015-12-18,59
2015-12-19,79
2015-12-20,69
2015-12-21,68
2015-12-22,67
2015-12-23,74
2015-12-24, 
2015-12-25, 



Top searches for lol top
lol top tier,100
lol champions,80
lol counter,60






