Web Search interest: lol top
Worldwide Mar-Apr 2012

Interest over time
Day,lol top
2012-03-01,53
2012-03-02,56
2012-03-03,59
2012-03-04,62
2012-03-05,51
2012-03-06,53
2012-03-07,55
2012-03-08,76
2012-03-09,53
2012-03-10,65
2012-03-11,77
2012-03-12,57
2012-03-13,53
2012-03-14,53
2012-03-15,46
2012-03-16,51
2012-03-17,56
2012-03-18,77
2012-03-19,46
2012-03-20,46
2012-03-21,75
2012-03-22,65
2012-03-23,61
2012-03-24,75
2012-03-25,70
2012-03-26,49
2012-03-27,47
2012-03-28,54
2012-03-29,48
2012-03-30,61
2012-03-31,74
2012-04-01,85
2012-04-02,70
2012-04-03,61
2012-04-04,60
2012-04-05,72
2012-04-06,78
2012-04-07,84
2012-04-08,59
2012-04-09,78
2012-04-10,67
2012-04-11,86
2012-04-12,65
2012-04-13,64
2012-04-14,100
2012-04-15,80
2012-04-16,78
2012-04-17,58
2012-04-18,63
2012-04-19,59
2012-04-20,62
2012-04-21,73
2012-04-22,80
2012-04-23,59
2012-04-24,81
2012-04-25,53
2012-04-26,69
2012-04-27,64
2012-04-28,74
2012-04-29,62
2012-04-30,62



Top searches for lol top
top lol champions,100






