Web Search interest: lol top
Worldwide Jul-Aug 2015

Interest over time
Day,lol top
2015-07-01,68
2015-07-02,86
2015-07-03,78
2015-07-04,91
2015-07-05,93
2015-07-06,69
2015-07-07,63
2015-07-08,68
2015-07-09,72
2015-07-10,74
2015-07-11,83
2015-07-12,100
2015-07-13,75
2015-07-14,78
2015-07-15,76
2015-07-16,73
2015-07-17,78
2015-07-18,91
2015-07-19,84
2015-07-20,81
2015-07-21,68
2015-07-22,59
2015-07-23,65
2015-07-24,76
2015-07-25,75
2015-07-26,82
2015-07-27,64
2015-07-28,76
2015-07-29,64
2015-07-30,73
2015-07-31,63
2015-08-01,87
2015-08-02,86
2015-08-03,69
2015-08-04,70
2015-08-05,57
2015-08-06,64
2015-08-07,76
2015-08-08,84
2015-08-09,84
2015-08-10,79
2015-08-11,68
2015-08-12,70
2015-08-13,75
2015-08-14,73
2015-08-15,83
2015-08-16,73
2015-08-17,62
2015-08-18,71
2015-08-19,76
2015-08-20,79
2015-08-21,71
2015-08-22,84
2015-08-23,78
2015-08-24,69
2015-08-25,72
2015-08-26,77
2015-08-27,63
2015-08-28,68
2015-08-29,77
2015-08-30,87
2015-08-31,68




Top cities for lol top
Town/City,lol top
Hanoi (Vietnam),100



Top searches for lol top
top tier lol,100
top champions lol,90
lol top lane,80
lol counter,70
riven top,30






