Web Search interest: lol top
Worldwide Jan-Feb 2011

Interest over time
Week,lol top
2011-01-02 - 2011-01-08,97
2011-01-09 - 2011-01-15,89
2011-01-16 - 2011-01-22,69
2011-01-23 - 2011-01-29,81
2011-01-30 - 2011-02-05,88
2011-02-06 - 2011-02-12,83
2011-02-13 - 2011-02-19,98
2011-02-20 - 2011-02-26,98
2011-02-27 - 2011-03-05,100









