Web Search interest: lol top
Worldwide Sep-Oct 2011

Interest over time
Week,lol top
2011-09-04 - 2011-09-10,58
2011-09-11 - 2011-09-17,79
2011-09-18 - 2011-09-24,82
2011-09-25 - 2011-10-01,70
2011-10-02 - 2011-10-08,77
2011-10-09 - 2011-10-15,83
2011-10-16 - 2011-10-22,79
2011-10-23 - 2011-10-29,85
2011-10-30 - 2011-11-05,100









