Web Search interest: lol top
Worldwide Mar-Apr 2015

Interest over time
Day,lol top
2015-03-01,90
2015-03-02,79
2015-03-03,74
2015-03-04,60
2015-03-05,65
2015-03-06,83
2015-03-07,93
2015-03-08,89
2015-03-09,73
2015-03-10,65
2015-03-11,75
2015-03-12,70
2015-03-13,76
2015-03-14,96
2015-03-15,100
2015-03-16,67
2015-03-17,68
2015-03-18,68
2015-03-19,69
2015-03-20,77
2015-03-21,96
2015-03-22,96
2015-03-23,67
2015-03-24,74
2015-03-25,74
2015-03-26,60
2015-03-27,89
2015-03-28,86
2015-03-29,89
2015-03-30,60
2015-03-31,74
2015-04-01,64
2015-04-02,61
2015-04-03,82
2015-04-04,81
2015-04-05,70
2015-04-06,66
2015-04-07,69
2015-04-08,71
2015-04-09,70
2015-04-10,68
2015-04-11,78
2015-04-12,78
2015-04-13,66
2015-04-14,69
2015-04-15,61
2015-04-16,63
2015-04-17,66
2015-04-18,75
2015-04-19,87
2015-04-20,75
2015-04-21,64
2015-04-22,54
2015-04-23,76
2015-04-24,64
2015-04-25,88
2015-04-26,80
2015-04-27,63
2015-04-28,61
2015-04-29,59
2015-04-30,65


Top regions for lol top
Region,lol top
France,100


Top cities for lol top
City,lol top
Hanoi (Vietnam),100



Top searches for lol top
top tier lol,100
lol counter,75
lol top champions,70
hecarim top,35
lol tier list,25



Rising searches for lol top
hecarim top,Breakout



