Web Search interest: lol top
Worldwide Nov-Dec 2015

Interest over time
Day,lol top
2015-11-01,94
2015-11-02,67
2015-11-03,77
2015-11-04,64
2015-11-05,71
2015-11-06,67
2015-11-07,95
2015-11-08,66
2015-11-09,66
2015-11-10,59
2015-11-11,100
2015-11-12,81
2015-11-13,89
2015-11-14,95
2015-11-15,86
2015-11-16,74
2015-11-17,71
2015-11-18,61
2015-11-19,56
2015-11-20,51
2015-11-21,90
2015-11-22,75
2015-11-23,63
2015-11-24,49
2015-11-25,50
2015-11-26,52
2015-11-27,55
2015-11-28,63
2015-11-29,68
2015-11-30,59
2015-12-01,61
2015-12-02,62
2015-12-03,59
2015-12-04,66
2015-12-05,81
2015-12-06,85
2015-12-07,58
2015-12-08,64
2015-12-09,59
2015-12-10,55
2015-12-11,54
2015-12-12,89
2015-12-13,67
2015-12-14,58
2015-12-15,59
2015-12-16,57
2015-12-17,55
2015-12-18,59
2015-12-19,87
2015-12-20,78
2015-12-21,91
2015-12-22, 
2015-12-23, 



Top searches for lol top
lol top tier,100
lol top champions,85
lol counter,55






