Web Search interest: lol top
Worldwide May-Jun 2011

Interest over time
Week,lol top
2011-05-01 - 2011-05-07,98
2011-05-08 - 2011-05-14,78
2011-05-15 - 2011-05-21,91
2011-05-22 - 2011-05-28,100
2011-05-29 - 2011-06-04,78
2011-06-05 - 2011-06-11,87
2011-06-12 - 2011-06-18,99
2011-06-19 - 2011-06-25,100
2011-06-26 - 2011-07-02,91









