Web Search interest: lol top
Worldwide Jul-Aug 2015

Interest over time
Day,lol top
2015-07-01,77
2015-07-02,78
2015-07-03,77
2015-07-04,88
2015-07-05,94
2015-07-06,95
2015-07-07,72
2015-07-08,74
2015-07-09,87
2015-07-10,86
2015-07-11,94
2015-07-12,94
2015-07-13,76
2015-07-14,91
2015-07-15,77
2015-07-16,74
2015-07-17,75
2015-07-18,94
2015-07-19,92
2015-07-20,78
2015-07-21,73
2015-07-22,64
2015-07-23,68
2015-07-24,73
2015-07-25,82
2015-07-26,100
2015-07-27,70
2015-07-28,81
2015-07-29,75
2015-07-30,80
2015-07-31,81
2015-08-01,78
2015-08-02,77
2015-08-03,75
2015-08-04,71
2015-08-05,67
2015-08-06,75
2015-08-07,66
2015-08-08,88
2015-08-09,89
2015-08-10,83
2015-08-11,74
2015-08-12,73
2015-08-13,77
2015-08-14,80
2015-08-15,92
2015-08-16,88
2015-08-17,66
2015-08-18,76
2015-08-19,73
2015-08-20,83
2015-08-21,83
2015-08-22,86
2015-08-23,81
2015-08-24,64
2015-08-25,80
2015-08-26,87
2015-08-27,72
2015-08-28,74
2015-08-29,75
2015-08-30,82
2015-08-31,74




Top cities for lol top
City,lol top
Hanoi (Vietnam),100



Top searches for lol top
lol top tier,100
top lol champions,85
lol counter,65
top champion lol,40
top lol champs,30
lol tier list,25






