Web Search interest: lol top
Worldwide Jul-Aug 2011

Interest over time
Week,lol top
2011-07-03 - 2011-07-09,70
2011-07-10 - 2011-07-16,91
2011-07-17 - 2011-07-23,81
2011-07-24 - 2011-07-30,80
2011-07-31 - 2011-08-06,81
2011-08-07 - 2011-08-13,92
2011-08-14 - 2011-08-20,100
2011-08-21 - 2011-08-27,93
2011-08-28 - 2011-09-03,98









