Web Search interest: lol top
Worldwide Sep-Oct 2010

Interest over time
Week,lol top
2010-09-05 - 2010-09-11,100
2010-09-12 - 2010-09-18,62
2010-09-19 - 2010-09-25,96
2010-09-26 - 2010-10-02,87
2010-10-03 - 2010-10-09,78
2010-10-10 - 2010-10-16,75
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,63
2010-10-31 - 2010-11-06,76









