Web Search interest: league of legends download windows
Worldwide Sep-Oct 2014

Interest over time
Week,league of legends download windows
2014-09-07 - 2014-09-13,85
2014-09-14 - 2014-09-20,96
2014-09-21 - 2014-09-27,100
2014-09-28 - 2014-10-04,95
2014-10-05 - 2014-10-11,98
2014-10-12 - 2014-10-18,83
2014-10-19 - 2014-10-25,72
2014-10-26 - 2014-11-01,83









