Web Search interest: league of legends download windows
Worldwide Jul-Aug 2014

Interest over time
Week,league of legends download windows
2014-07-06 - 2014-07-12,80
2014-07-13 - 2014-07-19,89
2014-07-20 - 2014-07-26,100
2014-07-27 - 2014-08-02,94
2014-08-03 - 2014-08-09,89
2014-08-10 - 2014-08-16,91
2014-08-17 - 2014-08-23,91
2014-08-24 - 2014-08-30,91
2014-08-31 - 2014-09-06,89









