Web Search interest: league of legends download windows
Worldwide Sep-Oct 2015

Interest over time
Week,league of legends download windows
2015-09-06 - 2015-09-12,94
2015-09-13 - 2015-09-19,65
2015-09-20 - 2015-09-26,77
2015-09-27 - 2015-10-03,94
2015-10-04 - 2015-10-10,100
2015-10-11 - 2015-10-17,93
2015-10-18 - 2015-10-24,76
2015-10-25 - 2015-10-31,75









