Web Search interest: league of legends download windows
Worldwide Mar-Apr 2014

Interest over time
Week,league of legends download windows
2014-03-02 - 2014-03-08,99
2014-03-09 - 2014-03-15,80
2014-03-16 - 2014-03-22,86
2014-03-23 - 2014-03-29,73
2014-03-30 - 2014-04-05,74
2014-04-06 - 2014-04-12,88
2014-04-13 - 2014-04-19,91
2014-04-20 - 2014-04-26,90
2014-04-27 - 2014-05-03,100









