Web Search interest: league of legends download windows
Worldwide Nov-Dec 2015

Interest over time
Week,league of legends download windows
2015-11-01 - 2015-11-07,70
2015-11-08 - 2015-11-14,78
2015-11-15 - 2015-11-21,63
2015-11-22 - 2015-11-28,76
2015-11-29 - 2015-12-05,64
2015-12-06 - 2015-12-12,69
2015-12-13 - 2015-12-19,79
2015-12-20 - 2015-12-26,100









