Web Search interest: league of legends download windows
Worldwide May-Jun 2014

Interest over time
Week,league of legends download windows
2014-05-04 - 2014-05-10,80
2014-05-11 - 2014-05-17,93
2014-05-18 - 2014-05-24,89
2014-05-25 - 2014-05-31,81
2014-06-01 - 2014-06-07,88
2014-06-08 - 2014-06-14,95
2014-06-15 - 2014-06-21,100
2014-06-22 - 2014-06-28,81
2014-06-29 - 2014-07-05,86









