Web Search interest: league of legends download windows
Worldwide Mar-Apr 2015

Interest over time
Week,league of legends download windows
2015-03-01 - 2015-03-07,63
2015-03-08 - 2015-03-14,71
2015-03-15 - 2015-03-21,79
2015-03-22 - 2015-03-28,77
2015-03-29 - 2015-04-04,100
2015-04-05 - 2015-04-11,69
2015-04-12 - 2015-04-18,73
2015-04-19 - 2015-04-25,57
2015-04-26 - 2015-05-02,63









